,Id,PostId,link,outdated (manually checked),description,link outdated,answer outdated,service in question outdated,other reasons,partly outdated,totally outdated,is aws-related,related service,keywords,phrases,strucutures,point out deprecated version,provide alternatives,share a link,provide code,others,Text

10,5820746,5820120,https://stackoverflow.com/questions/5820746,FALSE,file extension in question outdated,0,0,0,1,,,no,ogg,deprecated,,"provide alternatives, share a link",0,1,1,0,0,"<p>Man, that sounds incredibly frustrating. Looks like you're doing all of the things I would recommend, and trying lots of variations/tests. I've got one idea, and two maybe not so good ideas:</p>


<p>1) I ran into encoding issues when I used Miro, and ended up having files that would play fine locally... but ended up behaving differently when I viewed them online. To ensure that it's not an encoding issue, try subbing in an existing .ogv file that you know works - possibly from some other site/tutorial.</p>


<p>Standby reference: <a href=""http://www.bigbuckbunny.org/index.php/download/"" rel=""nofollow"">Big Buck Bunny</a></p>


<p>2) This is a longshot, and it's me showing how little I know about these formats... but maybe try using .ogg as an extension, instead of .ogv? I looked and see that .ogv is meant for video, with .ogg being deprecated... but changing the file extension might reveal something about your encoding process.</p>


<p>3) Another longshot: kill the codecs attribute for your mp4 source.</p>"

11,5935495,4811761,https://stackoverflow.com/questions/5935495,TRUE,service in question outdated,0,0,1,0,,,yes,amazon-simpledb,outdated,all others are outdated,"provide alternatives, share a link",0,1,1,0,0,"<p>Just for completeness, I ended up using the SDK provided by Amazon for Java. It can be found here:</p>


<p><a href=""http://aws.amazon.com/sdkforjava/"" rel=""nofollow"">http://aws.amazon.com/sdkforjava/</a></p>


<p>All other client libraries were outdated or had missing functionality.</p>"

12,7129403,4521846,https://stackoverflow.com/questions/7129403,TRUE,service in question outdated,0,0,1,0,,,yes,mturk,deprecated,,"provide alternatives, share a link",0,1,1,0,0,"<p>As msha points out, the sending of a workerID parameter to an ExternalQuestion page seems to be deprecated, or at least taken out of the latest version of the documentation.</p>


<p>However, a fellow researcher who's been using MTurk a lot says: ""People seem to be using it in the forums. I would go ahead with it...if it ever actually disappears, I'm sure that the developer community will yell very loudly. :) ""</p>


<p>I tried it empirically today (2011-08-19), and indeed a workerID is being sent to the ExternalQuestion page I set up on my own server, after the HIT has been accepted. This was in the sandbox. My ExternalQuestion page contained a Java Web Start button (as described here: <a href=""http://download.oracle.com/javase/tutorial/deployment/deploymentInDepth/createWebStartLaunchButtonFunction.html"" rel=""nofollow"">http://download.oracle.com/javase/tutorial/deployment/deploymentInDepth/createWebStartLaunchButtonFunction.html</a> ); I don't know if that made any difference.</p>"

13,7322249,7259601,https://stackoverflow.com/questions/7322249,FALSE,outdated kernels,0,0,0,1,,,yes,amazon-ec2,outdated,,user found issues himself,0,0,0,0,1,"<p>We found the issue. We noticed that some instances in our cluster always produced the problem and some never did. Apparently the issue is unique to instances that run more recent CPU versions combined with slightly outdated kernels.</p>


<p>The issue is explained in full here : <a href=""https://bugs.launchpad.net/ubuntu/+source/linux/+bug/727459"" rel=""nofollow noreferrer"">https://bugs.launchpad.net/ubuntu/+source/linux/+bug/727459</a></p>


<p>As the running time increases the spikes shown in the graph below become longer and longer, possible due to time shift and at some point it'll spin the one core for a long time.</p>


<p>Cpu usage graphs. Affected instance versus unaffected:</p>


<p><img src=""https://i.stack.imgur.com/sM8r6.png"" alt=""Cpu usage graphs. Affected instance versus unaffected""></p>


<p>The issue has been fixed recently so a kernel update fixed this issue for us.</p>"

14,7543698,6645026,https://stackoverflow.com/questions/7543698,TRUE,service in question outdated,0,0,1,0,,,no,ruby-rails,deprecated,has been deprecated,provide alternatives,0,1,0,0,0,<p>i think you are facing this problem because you are using RAILS_ROOT which has been deprecated in Rails 3. try using Rails.root instead and see if you face the same problem. Please check the correct usage for Rails.root before making the correction. </p>

15,7642625,7638646,https://stackoverflow.com/questions/7642625,FALSE,outdated solution provided due to costs (but still practical),0,0,0,1,,,yes,amazon-ec2,outdated,,"provide alternatives, share a link",0,1,1,0,0,"<p>As described in the question both Azure and EC2 will do the job very well. This is the kind of task both systems are designed for.</p>


<p>So the question becomes really: which is <em>best</em>? That depends on two things: what the application needs to do and your own experience and preference.</p>


<p>As it's a Windows application there should probably be a leaning towards Azure. While EC2 supports Windows, the tooling and support resources for Azure are probably deeper at this point. </p>


<p>If cost is a factor then a (somewhat outdated) resource is here: <a href=""http://blog.mccrory.me/2010/10/30/public-cloud-hourly-cost-comparison/"" rel=""nofollow"">http://blog.mccrory.me/2010/10/30/public-cloud-hourly-cost-comparison/</a> -- the conclusion is that, by and large, Azure and Amazon are roughly similar for compute charges.</p>"

16,7651730,6675018,https://stackoverflow.com/questions/7651730,TRUE,service in question outdated,0,0,1,0,,,yes,"amazon-mws, amazon-product-api",deprecated,,"point out deprecated version, provide alternatives, share a link",1,1,1,0,0,"<p>What you really want is the equivalent of the <code>OpenListings</code> report from the <code>Product Advertising API</code> in MWS and that is the <code>RequestReport</code> call with a report type of <code>_GET_MERCHANT_LISTINGS_DATA_</code>. This returns you all the inventory a seller has listed on Amazon and from here to getting your ASIN from that list it's close.</p>


<p>You can find out more details in their <a href=""https://developer.amazonservices.com/gp/mws/docs.html"" rel=""nofollow"">documentation</a></p>


<p>Also, I advise you to not use the Product Advertising API anymore as Amazon deprecated it and it will be out of use this time next year.</p>"

17,7718816,7704946,https://stackoverflow.com/questions/7718816,FALSE,outdated' mentioned to answer questions,0,0,0,1,,,yes,amazon-s3,outdated,,provide alternatives,0,1,0,0,0,<p>Changing URLs is a safe way to invalidate outdated assets.</p>

18,7865273,7864988,https://stackoverflow.com/questions/7865273,TRUE,code format in question outdated,0,0,0,1,,,no,UIDevice-uniqueIdentifier,deprecated,,"point out deprecated version, provide alternatives, share a link",1,1,1,0,0,"<p>Judging from your post, the error lies in </p>


<pre><code>[[UIDevice currentDevice] uniqueIdentifier]
</code></pre>


<p>The method UIDevice <code>uniqueIdentifier</code> is deprecated in iOS 5 and should not be called. From your code I cant really see what exactly you are trying to do but this post
<a href=""https://stackoverflow.com/questions/6993325/uidevice-uniqueidentifier-deprecated-what-to-do-now"">UIDevice uniqueIdentifier Deprecated - What To Do Now?</a></p>


<p>should be helpful in overcoming the deprecated method. You should change the deprecated calls and also use the ones listed in the post above. That should do the trick.</p>"

19,8106724,8106239,https://stackoverflow.com/questions/8106724,FALSE,outdated' mentioned to answer questions,0,0,0,1,,,no,amazon-ec2,out of date,,share a link,0,0,1,0,0,"<p>There are lots of guides out there, some out of date, and some recent ones, below are some links. You might also be interested in <a href=""http://aws.amazon.com/elasticbeanstalk/"" rel=""nofollow"">Amazon Elastic Beanstalk</a>. Here are some links</p>


<ul>
<li><a href=""http://blog.peterdelahunty.com/2009/06/deploying-grails-app-on-ec2-in-from.html"" rel=""nofollow"">Deploying Grails App on Amazon EC2 form scratch</a></li>
<li><a href=""http://grails.1312388.n4.nabble.com/Amazon-EC2-td3055649.html"" rel=""nofollow"">Question about EC2 and Grails on the mailing list</a></li>
</ul>


<p>To answer the question about the credit card, I think you can't get away without one, since if you go over the free usage tier you need to have some sort of payment method to pay for the extra usage.</p>"

20,8109806,8109792,https://stackoverflow.com/questions/8109806,TRUE,code format in question outdated,0,0,0,1,,,yes,amazon-s3,deprecated,,"point out deprecated version, provide alternatives",1,1,0,0,0,"<p>The constant <code>RAILS_ROOT</code> is deprecated and is not available in 3.1 (IMHO)</p>


<p>Try using :
<code>:s3_credentials =&gt; ""#{Rails.root}/config/s3.yml""</code></p>


<p>Instead of 
<code>:s3_credentials =&gt; ""#{RAILS_ROOT}/config/s3.yml""</code></p>"

21,8125958,8056962,https://stackoverflow.com/questions/8125958,TRUE,service in question outdated,0,0,1,0,,,yes,amazon-product-api,deprecated,has been deprecated,"point out deprecated version, provide alternatives",1,1,0,0,0,"<p>It used to be be possible by doing a brute force search with the Seller* API calls. However these calls have been deprecated since Nov 1 2011, so you're out of luck. If you happen to be working for this particular seller (instead of being simply a customer or a competitor), you'll want to use the APIs available to the seller (MWS) to download inventory reports.</p>"

22,8127487,7800800,https://stackoverflow.com/questions/8127487,FALSE,outdated solution provided due to costs (but still practical),0,0,0,1,,,yes,amazon-web-services,deprecated,,"provide alternatives, provide code",0,1,0,0,0,"<p>I'm working on the same issue and I know how to execute the GA code you want to execute, especially since you are working with the older version of the code. I am working on the same issue with an Amazon webstore -- if you are able to upload a js file, and it looks like you are able to do this in files, I would suggest using the init() function which is deprecated but it still works - here is an example where I am doing something similar. I am setting the contents of a custom variable and creating the tracking object -- but I'm not firing the page tracker until later in the code.</p>


<p>Using the code below, replace the Custom Variable setting code with the linker and set Domain code you need for cross domain tracking. Since the GA code added by amazon doesn't try to set the domain the linker functions should prevent a second cookie from being created, and use the cookie data passed in the URL.</p>


<pre><code>&lt;script type=""text/javascript""&gt; 
var gaJsHost = ((""https:"" ==   document.location.protocol) ? ""https://ssl."" : ""http://www."");
document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js'   type='text/javascript'%3E%3C/script%3E""));
&lt;/script&gt;
&lt;script type=""text/javascript""&gt;
try {
var pageTracker = _gat._getTracker(""UA-xxxxxxx-x""); 
pageTracker._initData();
pageTracker._setCustomVar(1, ""GWO"", utmx('combination').toString(), 1);} 
catch(err) {}&lt;/script&gt;
</code></pre>"

23,8173888,8173561,https://stackoverflow.com/questions/8173888,FALSE,outdated' mentioned to answer questions,0,0,0,1,,,yes,"amazon-ec2, amazon-web-services",obsolete,,provide alternatives,0,1,0,0,0,"<p>Zach, the simple answer is that there's not a simple path to there from here :)</p>


<p>When I wrote Segue I hoped that someone would soon come out with something that would make Segue obsolete. Cloudnumbers may be it one day, but probably not yet. I have toyed with making Segue a foreach backend, but since I don't use it that way, my motivation has been pretty low to take the time to learn how to build the backend. </p>


<p>One of the things that is very promising, in my opinion, is using the <code>doRedis()</code> package with workers on Amazon EC2. doRedis uses a Redis server as the job controller and then lets workers connect to the Redis server and get/return jobs and results. I've been thinking for a while that it would be nice to have a dead simple way to deploy a doRedis cluster on EC2. But nobody has written one yet that I know of. </p>"

24,8176018,8151783,https://stackoverflow.com/questions/8176018,TRUE,service in question outdated,0,0,1,0,,,yes,"amazon-product-api, amazon-web-services",deprecated,,"point out deprecated version, provide alternatives, share a link",1,1,1,0,0,"<p>On November 8, 2010 the Reviews response group of the Product Advertising API will no longer return customer reviews content and instead will return a link to customer reviews content hosted on Amazon.com.So you won't be able to fetch back the AverageRating and Totalreviews.</p>


<p>Amazon API latest documentation:</p>


<p><a href=""http://docs.amazonwebservices.com/AWSECommerceService/latest/DG/"" rel=""nofollow"">http://docs.amazonwebservices.com/AWSECommerceService/latest/DG/</a></p>


<p>Looks like you can't get sellerfeedback from the new API:</p>


<p>Product Advertising API Change Details
The following changes will take effect on 11/1/2011:</p>


<p>Seller Operations: The SellerLookup, SellerListingLookup and SellerListingSearch operations will be deprecated. All requests for these operations will be rejected with a corresponding error message. </p>"

25,8677786,8677696,https://stackoverflow.com/questions/8677786,FALSE,outdated solution corrected by answerer,0,0,0,1,,,yes,"amazon-s3, amazon-web-services",deprecated,,"point out deprecated version, provide alternatives, share a link",1,1,1,0,0,"<p>Yes this is very much possible. You will only have to deal with how would like to send the URL back after creating the pre signed URL. Maybe as XML or as plain text.. </p>


<p>I would recommend using the jets3t  library to create the URL. You could call this API:</p>


<p>org.jets3t.service.S3Service.createSignedPutUrl(String, String, Map, Date, boolean)</p>


<p>You could also an IAM policy instead. But your way is easier.</p>


<p>Edit: Added more information..</p>


<p>That's the beauty of it, when you are using the jets3t library you dont need to any of that. 
Just call the method : </p>


<pre><code> S3Service s3Service = new RestS3Service(awsCredentials);
// Create a signed HTTP PUT URL valid for 5 minutes.
  String putUrl = s3Service.createSignedPutUrl(bucket.getName(), object.getKey(),
  object.getMetadataMap(), expiryDate, false);
</code></pre>


<p>And use the URL to upload your image like below:</p>


<pre><code>SignedUrlHandler signedUrlHandler = new RestS3Service(null);
S3Object object = new S3Object(bucket,&lt;your file object goes here&gt;);
 S3Object putObject = signedUrlHandler.putObjectWithSignedUrl(putUrl, object);
</code></pre>


<p><strong>Edit for signedGetURL():</strong></p>


<p>Only the ones with ProviderCredential being passed in are deprecated.. This one is not : </p>


<p><a href=""http://jets3t.s3.amazonaws.com/api/org/jets3t/service/S3Service.html#createSignedGetUrl(java.lang.String"" rel=""nofollow"">http://jets3t.s3.amazonaws.com/api/org/jets3t/service/S3Service.html#createSignedGetUrl(java.lang.String</a>, java.lang.String, java.util.Date)</p>


<p>You wouldnt need to pass the credentials into this method anyway. Its only the s3service object that needs the credentials.. like this...</p>


<pre><code>S3Service s3service=new RestS3Service(credentials); // pass your credentials here
String createSignedGetUrl = s3service.createSignedGetUrl(storageObject.getBucketName(),
  storageObject.getKey(),new DateTime().plusMinutes(5).toDate());
</code></pre>"

26,8718053,8691975,https://stackoverflow.com/questions/8718053,FALSE,data in service outdated or wrong,0,0,1,0,,,yes,"amazon-mws, amazon-product-api",out of date,,"provide alternatives, share a link",0,1,1,0,0,"<p>I'm sorry to say that there is no way to get this info using the MWS API. The MWS API doesn't have any relative information, that is, it doesn't know anything about <em>other sellers' items</em> so there is no way to see what your items are priced at relative to others (which is the info you would need to determine if you own the Buy Box).</p>


<p>As you already know, you can get this info through the Product Advertising API but with the new limitations in place this may not be practical for the size of your inventory (would take <strike>three days</strike> two and a half hours at 20,000 items per <strike>day</strike> hour). The ""re-pricing"" service that you've used in the past was most likely affected by the new limitations. However, any existing accounts were given a grace period to change their software. The new limitations will go into effect for these accounts on February 12, 2012.</p>


<p>The only other option open to you is to get the info from the site (screen scrape). This isn't a very attractive alternative due to the latency issues but if you've got the infrastructure to do massive amounts of parallel calls then go for it. In certain situations I prefer to get this type of info from the site since this is what the buyers are seeing (most current info). In the past I've seen data coming from the Product Advertising API that was out of date or just plain wrong.</p>


<hr>


<p>The limits are defined in the documentation under the obscure subtitle of ""Efficiency Guidelines"" and is located <a href=""http://docs.amazonwebservices.com/AWSECommerceService/latest/DG/TroubleshootingApplications.html?r=2536"" rel=""nofollow"">here</a> (at the bottom of the page). </p>


<p>I must admit that it's been a while since I had worked with the PA-API and had forgotten the limits. I thought it was something like 2,000 a day but it's actually 2,000 per hour at one call per second. If you're making calls too quickly they'll return a 503 response which is documented <a href=""http://docs.amazonwebservices.com/AWSECommerceService/latest/DG/ErrorNumbers.html"" rel=""nofollow"">here</a>.</p>


<hr>


<p><strong>Update:</strong> Amazon has added a <a href=""https://developer.amazonservices.com/gp/mws/api.html?ie=UTF8&amp;section=products&amp;group=products&amp;version=latest"" rel=""nofollow"">Products API</a> to the MWS APIs. The <code>GetCompetitivePricingForSKU</code> gives you pricing information similar to the Product Advertising API's ItemLookup function. With this information you should be able to determine the price of the Buy Box owner. </p>"

27,8927333,8407750,https://stackoverflow.com/questions/8927333,TRUE,service in question outdated,0,0,1,0,,,yes,"amazon-s3, amazon-web-services",out of date,,"provide alternatives, provide code",0,1,1,1,0,<p>Apparently I was looking at some badly out of date documentation.</p>

28,8995926,8995304,https://stackoverflow.com/questions/8995926,TRUE,service in question outdated,0,0,1,0,,,yes,"amazon-ec2, amazon-iam, amazon-web-services",deprecated,,"point out deprecated version, provide alternatives, share a link",1,1,1,0,0,"<h2>Preface</h2>


<p>First and foremost, you might want to reconsider whether you actually need these X.509 certificates - the tutorial is correct in principle:</p>


<blockquote>
  <p>There are three types: access keys, X.509 certificates and key pairs.
  The first and second type allow you to connect to the Amazon APIs.
  Which type of credential depends on which API and tool you are using.
  Some APIs and tools support both options, whereas others support just
  one.</p>
</blockquote>


<p>However, nowadays most modern APIs and tools are interacting with AWS by means of access keys only rather than X.509 certificates.</p>


<p><strike>Unfortunately this is not the case for the EC2 API Tools the tutorial is based on though, which indeed require the use X.509 certificates due to being (mostly) based on the older EC2 SOAP API still.</strike></p>


<p><strong>Update</strong>: The EC2 API Tools meanwhile support AWS access keys as well and <a href=""http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/setting_up_ec2_command_linux.html#set_aws_credentials_linux"">deprecated using X.509 certificates</a> accordingly:</p>


<blockquote>
  <p>Although we don_Ã‘Ã©t encourage it, for a limited time you can still use
  EC2_PRIVATE_KEY and EC2_CERT instead of AWS_ACCESS_KEY and
  AWS_SECRET_KEY. For more information, see Deprecated Options in <a href=""http://docs.aws.amazon.com/AWSEC2/latest/CommandLineReference/CLTRG-common-args-api.html"">Common Options</a> 
  for API Tools in the Amazon Elastic Compute Cloud CLI
  Reference. If you specify both sets of credentials, the command line
  tools use the access key ID and secret access key.</p>
</blockquote>


<h3>Alternative</h3>


<p>You might want to check out an alternative first though: If you are comfortable in Python, I'd highly recommend the excellent <a href=""http://code.google.com/p/boto/"">boto</a> (<em>An integrated interface to current and future infrastructural services offered by Amazon Web Services</em>), which works just fine with access keys, offers almost the same feature set as the <em>EC2 API tools</em> (plus most other AWS APIs) and performs significantly faster due to targeting the newer AWS REST APIs only.</p>


<h2>Solution</h2>


<p><a href=""http://aws.amazon.com/iam/"">AWS Identity and Access Management (IAM)</a> does not support accessing the actual AWS account, it only covers the <a href=""http://aws.amazon.com/console/"">AWS Management Console</a>, and most AWS APIs of course. You'll need to sign in with the AWS account's login and password (i.e. those of the account owner) to access the <a href=""http://aws-portal.amazon.com/gp/aws/developer/account/index.html?action=access-key"">Security Credentials</a> page.</p>


<p>This is not recommended anymore though (see section <em>Security Credentials</em> within <a href=""http://docs.amazonwebservices.com/IAM/latest/UserGuide/IAM_Concepts.html#IAM_SecurityCredentials"">IAM Concepts</a>):</p>


<blockquote>
  <p>[...] when you create an AWS account, AWS gives the
  AWS account its own Secret Access Key and Access Key ID by default.
  The AWS account can make API calls to AWS with them. <strong>We expect that
  you won't use those credentials on a regular basis, but will use them
  only to initially set up an administrators group for your
  organization</strong>. We recommend that all further API interaction between
  your AWS account and your AWS resources be at the user level (for
  example, using users' security credentials). <em>[emphasis mine]</em></p>
</blockquote>


<p>However, <strong>you can still achieve your goal</strong> by using your own certificate as outlined further down in section <em>X.509 Certificates</em>:</p>


<blockquote>
  <p>Although you can use IAM to create an access key, you can't use IAM to
  create a signing certificate. However, you can use free third-party
  tools such as OpenSSL to create the certificate. [...] After you have the
  signing certificate, you must upload it to IAM; [...]</p>
</blockquote>


<p>How to actually do the latter is illustrated in <a href=""http://docs.amazonwebservices.com/IAM/latest/UserGuide/Using_UploadCertificate.html"">Uploading a Signing Certificate</a>.</p>"
