Id,PostId,Score,Text,CreationDate,UserId,ContentLicense,of_answer,cnt_keywords,subject,punctuation,negative_statement,sentence,subj_irrel,include_irrel,Id_que,CreationDate_que,Score_que,ViewCount,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,ClosedDate,FavoriteCount,CommunityOwnedDate
17895827,13148962,3,You are using an outdated CMIS URL. Try http://localhost/alfresco/cmisatom .,2012-10-31T09:12:20.347,345826,CC BY-SA 3.0,False,1,,.,0,You are using an outdated CMIS URL.,False,False,13148962.0,2012-10-30T23:15:27.840,1.0,1058.0,2012-11-08T09:16:52.220,2012-12-02T22:29:28.247,Apache Chemistry openCMIS session taking too long,<session><amazon-web-services><alfresco><bitnami><opencmis>,1.0,6.0,,,
19010091,13809353,0,"CFCredentials is [defined in utilities/credentials.class.php](http://docs.amazonwebservices.com/AWSSDKforPHP/latest/index.html#i=CFCredentials).  Does that file exist?  Is it being included?  Could you have some sort of weird frankenstein monster copy of the PHP SDK?  It happens that my local copy is out of date, and that file (and references to CFCredentials) doesn't exist.",2012-12-11T08:36:14.440,168868,CC BY-SA 3.0,False,1,,.,1,"It happens that my local copy is outdated, and that file (and references to CFCredentials) doesn't exist.",False,False,13809353.0,2012-12-10T21:12:51.350,1.0,736.0,,2012-12-10T21:12:51.350,Fatal Error: Class 'CFCredentials' not found - Amazon AWS SDK for S3 error,<php><amazon-s3><amazon-web-services>,0.0,2.0,,,
19789708,14258470,0,your web host needs to upgrade -- PHP5.2 has been unsupported for two years; it has known security flaws that have not and *will not* be fixed. No server admin worth his pay would allow it to still be running on his servers. If your web host is willing to run software on their servers that is obsolete and known to be insecure then they clearly don't care about their users; you're using the wrong web host.,2013-01-10T13:36:16.713,1069607,CC BY-SA 3.0,False,1,host,.,1,If your web host is willing to run software on their servers that is obsolete and known to be insecure then they clearly don't care about their users; you're using the wrong web host.,False,False,14258470.0,2013-01-10T12:56:38.417,0.0,1413.0,2013-01-10T13:28:07.060,2013-02-25T01:32:07.997,Retrieve Amazon MWS Response using php5.2 apis,<php><amazon-web-services><php-5.2><amazon-mws>,1.0,5.0,,,
20033787,14399249,0,can you change the database access code? if yes! then port to `PDO`. see `http://in1.php.net/pdo`. other APIs are going to be obsolete soon!,2013-01-18T12:49:55.257,1208469,CC BY-SA 3.0,False,1,APIs,!,0,other APIs are going to be obsolete soon!,False,False,14399249.0,2013-01-18T12:43:06.390,0.0,273.0,2013-01-18T13:01:58.753,2013-01-20T15:56:12.120,$mysqli->insert_id not working with PHP on openSUSE,<php><mysql><ubuntu><amazon-web-services><mysqli>,1.0,10.0,,,
20033966,14399249,0,"@pjp: No, `ext/mysqli` is not likely to be deprecated any time soon (unlike `ext/mysql` which is now deprecated as of PHP v5.5.0).",2013-01-18T12:56:06.973,623041,CC BY-SA 3.0,False,1,,.,1,"No, `ext/mysqli` is not likely to be deprecated any time soon (unlike `ext/mysql` which is now deprecated as of PHP v5.5.0).",False,False,14399249.0,2013-01-18T12:43:06.390,0.0,273.0,2013-01-18T13:01:58.753,2013-01-20T15:56:12.120,$mysqli->insert_id not working with PHP on openSUSE,<php><mysql><ubuntu><amazon-web-services><mysqli>,1.0,10.0,,,
20034363,14399249,0,i know..mysqli will not be deprecated just yet! but PDO is going to be a standard or probably is..thats why if its ported..then make it PDO based. it is also far more secured,2013-01-18T13:10:33.827,1208469,CC BY-SA 3.0,False,1,mysqli,!,1,mysqli will not be deprecated just yet!,False,False,14399249.0,2013-01-18T12:43:06.390,0.0,273.0,2013-01-18T13:01:58.753,2013-01-20T15:56:12.120,$mysqli->insert_id not working with PHP on openSUSE,<php><mysql><ubuntu><amazon-web-services><mysqli>,1.0,10.0,,,
21388995,15176656,1,"Thanks to dig I have noticed that AWS DNS specified in registrar were obsolete. I have corrected DNS records about 12 hours ago and see that know google DNS knows my domain: nslookup domain.com 8.8.8.8, google-public-dns-a.google.com says address XX.XXX.XX.XXX.

But I use nslookup without specifying DNS server: nslookup domain.com, it says Unknown domain. I have tried to reboot router and flush local DNS.",2013-03-03T06:33:15.353,1951393,CC BY-SA 3.0,False,1,Thanks,.,0,Thanks to dig I have noticed that AWS DNS specified in registrar were obsolete.,False,False,15176656.0,2013-03-02T16:20:44.180,13.0,17976.0,2016-07-20T09:08:36.140,2016-11-19T07:43:31.153,AWS Route 53 DNS propagation time,<dns><amazon-route53>,2.0,3.0,2016-11-19T19:01:04.477,3.0,
22012770,15536803,0,"hlegius: some sites talk about using authorized_keys2 (although I believe that is now deprecated). I did try putting my id_rsa.pub into server:~/.ssh/authorized_keys, but that doesn't work either. Thanks anyway.",2013-03-21T00:36:28.010,2193077,CC BY-SA 3.0,False,1,,.,0,some sites talk about using authorized_keys2 (although I believe that is now deprecated).,False,False,15536803.0,2013-03-20T23:35:23.197,0.0,522.0,2013-03-21T21:51:31.663,2013-03-26T01:56:56.353,cap uses admin instead of ec2-user,<ruby-on-rails><deployment><amazon-web-services><amazon-ec2><capistrano>,1.0,4.0,,,
22037703,15550433,0,"@believeme That example uses deprecated mysql library and has issues with SQL injection. While it does demonstrate the concept, the code needs to be improved before using it in production.",2013-03-21T15:32:21.667,790224,CC BY-SA 3.0,False,1,,.,0,That example uses deprecated mysql library and has issues with SQL injection.,False,False,15550433.0,2013-03-21T14:34:45.577,0.0,72.0,,2013-03-21T14:39:33.143,Is there any way to connect AWS to my Slickgrid?,<javascript><jquery><database><amazon-web-services><slickgrid>,1.0,5.0,,,
22082458,15566241,1,"I had no idea HEAT even worked with essex.  You should upgrade your openstack release.  You are about 2 releases out of date.  HEAT will be for the first time actually part of core ( to a degree ) in current release of grizzly.

cfn-init is not a tool I am familiar with.  I cannot guarantee it will work with openstack.  

http://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/cfn-init.html

has documentation on use.  I did note there is a --url parameter that you are not using.  That could be part of your issues.",2013-03-22T18:15:40.907,798549,CC BY-SA 3.0,False,1,, ,0,You are about 2 releases outdated.  ,False,False,15566241.0,2013-03-22T08:55:03.847,2.0,943.0,2013-03-26T09:23:03.960,2013-03-26T09:23:03.960,Using AWS-Cloudformatting-Resources with Heat & Openstack in a local cloud?,<amazon-web-services><openstack><amazon-cloudformation><heat>,0.0,1.0,,1.0,
23208548,534774,4,"Most of the answers are outdated now that Amazon EC2 supports 64-bit AMIs on all instance types.  Since EC2 does not support 32-bit on all instance types, I recommend always using 64-bit: http://alestic.com/2012/03/ec2-64-bit",2013-04-25T23:01:01.423,111286,CC BY-SA 3.0,False,1,Most, ,0,Most of the answers are outdated now that Amazon EC2 supports 64-bit AMIs on all instance types.  ,False,False,534774.0,2009-02-10T23:30:48.327,23.0,14589.0,,2013-04-25T23:06:38.133,Amazon EC2 - Which Ubuntu server to choose: 32bit or 64bit?,<web-services><ubuntu><amazon-ec2>,8.0,2.0,,3.0,
26265812,17963734,0,"OK, so the problem is deprecated class KeyguardLock and calling lock.disableKeyguard(); which makes the app stop. Deprecated since API 13.",2013-07-31T11:37:57.843,1268593,CC BY-SA 3.0,False,1,problem,.,0,"OK, so the problem is deprecated class KeyguardLock and calling lock.disableKeyguard(); which makes the app stop.",False,False,17963734.0,2013-07-31T07:02:52.653,0.0,237.0,,2013-08-07T07:26:14.617,Android app stops after start on Amazon Kindle Fire HD,<android><android-intent><android-service><amazon><kindle-fire>,2.0,5.0,,,
28231812,19095925,0,Side note: You need to upgrade your postgres a least to 8.4 . 8.2 is outdated and not supported.,2013-09-30T13:58:48.770,1818688,CC BY-SA 3.0,False,1,8.2,.,1,8.2 is outdated and not supported.,False,False,19095925.0,2013-09-30T13:48:57.840,0.0,850.0,2017-05-23T12:14:12.537,2013-10-14T15:06:26.430,Optimising PostgreSql query to fetch the total number of records found and required limited number of rows for pagination based on multiple group by's,<sql><postgresql><amazon-redshift>,1.0,8.0,,,
28263009,19095925,0,"Then it's not even 8.2, but 8.0 and I have no clue how you can use a window function with that ancient and obsolete version. I still think it must be some different fork. Postgres does not display things like ""XN Limit"" or ""XN Merge"" in the execution plan.",2013-10-01T10:59:25.860,330315,CC BY-SA 3.0,False,1,,.,0,and I have no clue how you can use a window function with that ancient and obsolete version.,False,False,19095925.0,2013-09-30T13:48:57.840,0.0,850.0,2017-05-23T12:14:12.537,2013-10-14T15:06:26.430,Optimising PostgreSql query to fetch the total number of records found and required limited number of rows for pagination based on multiple group by's,<sql><postgresql><amazon-redshift>,1.0,8.0,,,
29914825,9589531,2,"If it helps anyone, there is a nicely written article on how to use the AWS SDK to delete the obsolete/old application versions when the limit is about to exceed.
http://www.danmandle.com/blog/automatically-remove-old-aws-elastic-beanstalk-application-versions/",2013-11-19T19:30:53.110,371396,CC BY-SA 3.0,False,1,,"
",0,"If it helps anyone, there is a nicely written article on how to use the AWS SDK to delete the obsolete/old application versions when the limit is about to exceed.
",False,False,9589531.0,2012-03-06T18:17:05.647,21.0,7746.0,2012-03-06T20:48:14.343,2019-04-09T05:54:24.113,How to avoid a TooManyApplicationVersion exception on AWS Elastic Beanstalk?,<amazon-web-services><amazon-elastic-beanstalk>,5.0,1.0,,4.0,
30092869,20181771,0,"We're using 1.5.9 of https://github.com/amazonwebservices/aws-sdk-for-php.  It seems that this repo is out of date and that there's a new composer package that is being recommended we use instead.  Is it possible this would solve the issue?  It's just weird that it started happening less than 24 hours ago, out of the blue.",2013-11-25T04:37:41.727,218012,CC BY-SA 3.0,False,1,, ,0,It seems that this repo is outdated and that there's a new composer package that is being recommended we use instead.  ,False,False,20181771.0,2013-11-24T22:12:50.090,0.0,891.0,,2013-11-24T22:12:50.090,"s3 upload, 400 response, no body",<php><amazon-web-services><amazon-s3>,0.0,4.0,,,
31194753,7170438,0,"Now that ASIHTTPRequest is deprecated, is there a better way to do this?",2013-12-27T19:15:00.260,388157,CC BY-SA 3.0,False,1,,?,0,"Now that ASIHTTPRequest is deprecated, is there a better way to do this?",False,False,7170438.0,2011-08-24T04:28:38.623,3.0,981.0,2011-08-24T21:21:19.583,2011-08-24T21:21:19.583,Amazon S3 Upload via iOS app w/ percent complete,<iphone><objective-c><ios><amazon-s3><asihttprequest>,1.0,1.0,,2.0,
31394762,20912041,1,Oh. Just started looking at django-storages. It looks like the CloudFiles backend is way out of date (it references a Mosso CloudFiles module that has since been deprecated). If you continue using django-storages I recommend using the libcloud backend.,2014-01-03T20:59:00.877,700228,CC BY-SA 3.0,False,1,It,.,0,It looks like the CloudFiles backend is way outdated (it references a Mosso CloudFiles module that has since been deprecated).,False,False,20912041.0,2014-01-03T20:19:50.857,4.0,1032.0,,2014-01-09T11:51:51.473,changing django-storages backend from from s3 to cloudfiles and dealing with old files,<python><django><amazon-s3><django-storage><cloudfiles>,1.0,5.0,,1.0,
31528860,20983127,0,I found the issue. My CLIs were outdated.,2014-01-07T22:42:08.630,2836412,CC BY-SA 3.0,False,1,CLIs,.,0,My CLIs were outdated.,False,False,20983127.0,2014-01-07T22:17:45.290,0.0,113.0,,2014-01-08T21:46:32.533,AWS EC2 setting up auto scale,<amazon-web-services><amazon-ec2><autoscaling>,1.0,2.0,,,
31926544,21166320,0,"And really, you're using the outdated and unsupported version of Amazon's SDK for PHP. You should really consider upgrading. The benefits are HUGE.",2014-01-18T07:52:52.633,228514,CC BY-SA 3.0,False,1,,.,0,"And really, you're using the outdated and unsupported version of Amazon's SDK for PHP.",False,False,21166320.0,2014-01-16T15:43:38.480,0.0,671.0,2014-01-16T17:31:53.997,2015-07-13T15:34:54.793,"Error ""Unknown class SimpleXMLIterator"" with HHVM",<php><amazon-s3><simplexml><hhvm>,2.0,4.0,,,
33013161,21814486,0,BUT httpclient has been deprecated. .. why would you still use it ? and what do u mean by bees knees?,2014-02-16T17:13:05.993,3134565,CC BY-SA 3.0,False,1,httpclient,.,0,BUT httpclient has been deprecated.,False,False,21814486.0,2014-02-16T17:06:58.637,1.0,67.0,,2014-02-16T17:19:54.113,new to android - what technology should be used to access web service?,<java><android><web-services><rest><amazon-web-services>,1.0,4.0,2014-02-16T22:29:42.697,1.0,
34180760,22452794,0,"@BobKinney I want to upload throttled stream to Amazon Server using S3. ` // The S3UploadInputStream was deprecated after the release of iOS6.
        S3UploadInputStream *stream = [S3UploadInputStream inputStreamWithData:dataToUpload];  
        if ( using3G ) {
            // If connected via 3G ""throttle"" the stream.
            stream.delay = 0.2; // In seconds
            stream.packetSize = 16; // Number of 1K blocks
        } `  But this is deprecated, so is there any other way to achieve this?",2014-03-18T04:51:58.543,3428530,CC BY-SA 3.0,False,2,S3UploadInputStream,"
        ",0,"The S3UploadInputStream was deprecated after the release of iOS6.
        ",False,False,22452794.0,2014-03-17T11:11:23.007,0.0,278.0,2014-03-17T11:17:15.420,2014-03-24T03:33:07.977,s3 throttling stream uploading using AWS-iOS-SDK ?,<iphone><objective-c><amazon-web-services><bandwidth-throttling>,1.0,5.0,,,
34205762,22452794,0,"The solution we had was unfortunately sub-optimal and caused some issues with threading, so we deprecated it as it was only for the 3G bug. You didn't really answer my question, why do you need to offer throttled uploads?",2014-03-18T16:23:50.897,1721437,CC BY-SA 3.0,False,1,,.,0,"The solution we had was unfortunately sub-optimal and caused some issues with threading, so we deprecated it as it was only for the 3G bug.",False,False,22452794.0,2014-03-17T11:11:23.007,0.0,278.0,2014-03-17T11:17:15.420,2014-03-24T03:33:07.977,s3 throttling stream uploading using AWS-iOS-SDK ?,<iphone><objective-c><amazon-web-services><bandwidth-throttling>,1.0,5.0,,,
34223692,22492669,0,I would avoid spending too much time on this. That version is deprecated. Follow the rest of that blog post and create your own AMI installing a current shiny-server v 1.0 which got bumped from version 0.5.0,2014-03-19T02:28:27.670,1690692,CC BY-SA 3.0,False,1,version,.,0,That version is deprecated.,False,False,22492669.0,2014-03-18T22:47:43.403,0.0,491.0,,2014-03-19T01:38:39.650,"Seeking help setting up a micro instance on AWS EC2 for a simple ""hello world"" app",<r><amazon-ec2><shiny-server>,1.0,6.0,,1.0,
34300373,22538885,0,A similar question with signed URLS is here - http://stackoverflow.com/questions/10811017/how-to-store-data-in-s3-and-allow-user-access-in-a-secure-way-with-rails-api-i - but it is a bit outdated (2 years old) and I think there is an easier solution just by preventing direct requests.,2014-03-20T16:15:11.700,1001938,CC BY-SA 3.0,False,1,it,.,0,http://stackoverflow.com/questions/10811017/how-to-store-data-in-s3-and-allow-user-access-in-a-secure-way-with-rails-api-i - but it is a bit outdated (2 years old) and I think there is an easier solution just by preventing direct requests.,False,True,22538885.0,2014-03-20T16:12:40.427,0.0,165.0,2020-01-06T01:01:21.197,2020-01-06T01:01:21.197,Only make S3 files accessible through ajax,<amazon-web-services><amazon-s3>,1.0,1.0,,,
34396131,22592128,0,"I'm forced to use RHEL 6.4 on my work, and from my point of view the huge part of packages in this distro is outdated. GCC 4.4 supports less then a half of C++11 features. I guess that Clang from repo is quite old too (3.0?). If it's not a secret, what's the profit from the use of the one? Or maybe you have CentOS 7 beta on-board?",2014-03-23T15:25:39.650,2361497,CC BY-SA 3.0,False,1,,.,0,"I'm forced to use RHEL 6.4 on my work, and from my point of view the huge part of packages in this distro is outdated.",False,False,22592128.0,2014-03-23T14:24:02.050,3.0,1396.0,2014-03-24T18:26:09.730,2014-04-28T22:47:06.710,Clang on Amazon Linux from EPEL can't find C++ headers or libraries,<c++><linux><amazon-web-services><centos><clang>,2.0,2.0,,,
34526929,22666177,0,`mysql_real_escape_string()` is deprecated and you shouldn't use it. Switch to prepared statements.,2014-03-26T15:51:20.993,1187891,CC BY-SA 3.0,False,1,,.,1,`mysql_real_escape_string()` is deprecated and you shouldn't use it.,False,False,22666177.0,2014-03-26T15:44:16.717,0.0,66.0,,2014-03-26T16:23:56.330,PHP insert into sql with array,<php><mysql><sql><arrays><amazon-web-services>,2.0,2.0,,,
34677798,22748594,0,Did you install ImageMagick already in the OS prior to trying to add the node package? It's notorious for being annoying to install due to the dependencies and package repos having outdated versions. I'd double check that it's all working first,2014-03-30T21:31:18.700,808532,CC BY-SA 3.0,False,1,,.,0,It's notorious for being annoying to install due to the dependencies and package repos having outdated versions.,False,False,22748594.0,2014-03-30T19:16:23.633,2.0,369.0,,2014-03-30T19:16:23.633,aws linux imagmagick-native npm installing is failing,<node.js><amazon-web-services><npm>,0.0,5.0,,1.0,
35386975,23120203,0,"I'm fairly certain that's my issue, I've had trouble finding good example bucket policies since the first three Google links for [""Amazon S3 Bucket Policy""](https://www.google.com/search?q=amazon+bucket+policy&oq=amazon) on Amazon are deprecated.",2014-04-17T20:52:16.087,2622969,CC BY-SA 3.0,False,1,,.,0,"I'm fairly certain that's my issue, I've had trouble finding good example bucket policies since the first three Google links for [""Amazon S3 Bucket Policy""](https://www.google.com/search?q=amazon+bucket+policy&oq=amazon) on Amazon are deprecated.",False,False,23120203.0,2014-04-16T21:10:08.673,5.0,878.0,2014-04-17T15:07:29.727,2014-04-17T21:22:58.623,Deleting a file from S3 using Django + Fineuploader + boto,<python><django><amazon-s3><boto><fine-uploader>,1.0,9.0,,,
35937116,22081454,0,"I recently deployed a Neo4j.rb 2.3 app to a standalone machine. Not exactly what you're looking for, but I can tell you that you should definitely use Torquebox and take advantage of it as much as possible. It has native clustering support for the app, though you'll still need to configure the Neo4j cluster separately. I found http://pragprog.com/book/jkdepj/deploying-with-jruby helpful when I was researching, though it's a little out of date now as far as Torquebox is concerned.",2014-05-03T14:21:04.327,2105069,CC BY-SA 3.0,False,1,,.,0,"I found http://pragprog.com/book/jkdepj/deploying-with-jruby helpful when I was researching, though it's a little outdated now as far as Torquebox is concerned.",False,False,22081454.0,2014-02-27T22:01:23.487,1.0,64.0,,2014-02-27T22:01:23.487,Rails with Neo4j: deployment onto EC2,<ruby-on-rails><deployment><amazon-ec2><neo4j><jruby>,0.0,3.0,,,
38554053,24832333,0,"@CoreyGoldberg With using `apt-get install python-pip` I have always problem, that on older versions of OS (including Ubuntu 12.10) I get rather outdated version of `pip`. As `pip` and `setuptools` undergo significant updates in last 2 years, it makes using it difficult.",2014-07-18T19:29:33.873,346478,CC BY-SA 3.0,False,1,,.,0,that on older versions of OS (including Ubuntu 12.10) I get rather outdated version of `pip`.,False,False,24832333.0,2014-07-18T19:24:04.153,0.0,25.0,,2014-07-18T19:24:04.153,Inconsistent pip script naming,<python><amazon-ec2><pip><easy-install>,0.0,3.0,,,
38808771,24965550,0,"Basically a duplicate to this: http://stackoverflow.com/questions/156114/best-way-to-get-result-count-before-limit-was-applied-in-php-postgresql/8242764#8242764. Not sure about Redshift though, which is an odd mix of outdated and modern functionality.",2014-07-26T03:30:52.150,939860,CC BY-SA 3.0,False,1,,.,1,"Not sure about Redshift though, which is an odd mix of outdated and modern functionality.",False,False,24965550.0,2014-07-25T22:38:26.530,2.0,147.0,,2014-07-25T23:23:16.280,Combining a LIMITed SELECT and a total COUNT together?,<sql><postgresql><amazon-redshift>,1.0,3.0,,,
38854510,16444306,3,"Answers below seem outdated. Use the ""check_implicit_admin"" flag which was added to mysql_user in Ansible 1.3. Setting that to true when setting the password does the trick for me.",2014-07-28T08:58:31.357,273826,CC BY-SA 3.0,False,1,,.,0,Answers below seem outdated.,False,False,16444306.0,2013-05-08T15:15:27.167,44.0,40700.0,2013-05-15T12:56:16.407,2019-02-05T05:11:51.757,Ansible idempotent MySQL installation Playbook,<mysql><command-line><amazon-web-services><amazon-ec2><ansible>,11.0,1.0,,20.0,
38867292,24998286,0,"@ikegami, the 2 other SO threads I mentioned have JSON links which are deprecated. Hence the price information mentioned there does not match with today's pricing. The link I mentioned in the post has the correct pricing, but it is not in JSON format ... :(",2014-07-28T15:21:31.817,1251660,CC BY-SA 3.0,False,1,,.,0,"@ikegami, the 2 other SO threads I mentioned have JSON links which are deprecated.",False,False,24998286.0,2014-07-28T15:08:15.100,2.0,753.0,,2014-07-30T07:30:20.210,How to parse this JSON object/string?,<json><perl><amazon-web-services>,2.0,10.0,,,
39376598,25266444,0,"Honestly I don't think Silk is actually getting in to the function, I'm about to try it in our staging enviornment using ""keydown"" instead of keypress, I'm reading in some places that ""keypress"" is deprecated",2014-08-12T17:20:29.027,1195158,CC BY-SA 3.0,False,1,,deprecated,0,", I'm about to try it in our staging enviornment using ""keydown"" instead of keypress, I'm reading in some places that ""keypress"" is deprecated",False,False,25266444.0,2014-08-12T14:07:23.680,0.0,112.0,2014-08-12T16:52:02.003,2014-08-12T16:52:02.003,Kindle Silk browser having issues with keypress event?,<asp.net-mvc-4><knockout.js><kindle><amazon-silk>,0.0,8.0,,,
39976826,25585845,0,"Select * on an analytical DB like Redshift is discouraged. It makes much more sense to use it to find how many items you have with specific tag set or other ""interesting"" questions. Do you have a specific query that you want to optimize with Redshift?",2014-08-31T15:38:57.390,179529,CC BY-SA 3.0,False,1,,.,0,Select * on an analytical DB like Redshift is discouraged.,False,False,25585845.0,2014-08-30T19:08:44.197,0.0,66.0,,2014-08-30T21:32:38.477,Best practice to query items including their linked data,<sql><database><database-design><amazon-redshift>,1.0,6.0,,,
40320650,25780806,0,"Thank you munyul, issue resolved by removing the obsolete version of the httpclient library which interrupted. Then just added a missing joda-time package and the problem was resolved.",2014-09-11T07:04:42.597,1889767,CC BY-SA 3.0,False,1,,.,0,"Thank you munyul, issue resolved by removing the obsolete version of the httpclient library which interrupted.",False,False,25780806.0,2014-09-11T06:43:51.933,3.0,4146.0,2015-11-11T18:52:28.857,2015-11-11T18:52:28.857,AWS Java SDK Error - java.lang.NoSuchMethodError,<java><amazon-web-services><jar><dependency-management>,1.0,3.0,,,
